"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","名称_通称","POIコード","外部識別子","外部識別子の値","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能時間特記事項","説明","車椅子可","車椅子貸出","ツエ貸出","バリアフリートイレ","スロープ、エレベータ、エスカレータ","点字ブロック等の移動支援","点字や読上による支援","盲導犬・介助犬、聴導犬同伴","字幕","筆談対応","優先駐車場","オストメイト対応トイレ","授乳室","おむつ替えコーナー","飲食可否","ベビーカー貸出","ベビーカー利用","URL","画像","画像_ライセンス","備考"
"131121","131121000023","世田谷区","若林まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区若林1-34-2","東京都","世田谷区","若林1丁目","34-2","","35.646106","139.66376","","","","","","","","1540023","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000024","世田谷区","上町まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区世田谷1-23-5","東京都","世田谷区","世田谷1丁目","23-5","","35.641906","139.647502","","","","","","","","1540017","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000025","世田谷区","経堂まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区宮坂1-44-29","東京都","世田谷区","宮坂1丁目","44-29","","35.650582","139.641481","","","","","","","","1560051","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000026","世田谷区","下馬まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区下馬4-13-4","東京都","世田谷区","下馬4丁目","13-4","","35.635975","139.679084","","","","","","","","1540002","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000027","世田谷区","上馬まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区上馬4-10-17","東京都","世田谷区","上馬4丁目","10-17","","35.635039","139.662542","","","","","","","","1540011","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000028","世田谷区","北沢まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区北沢2-8-18","東京都","世田谷区","北沢2丁目","8-18","","35.662208","139.66972","","","","","","","","1550031","","","","","","","","","","","","","","","","","","","","","","","","","","","","区分所有・一部借上"
"131121","131121000029","世田谷区","梅丘まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区梅丘1-61-16","東京都","世田谷区","梅丘1丁目","61-16","","35.653407","139.652326","","","","","","","","1540022","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000030","世田谷区","代沢まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区代沢5-1-15","東京都","世田谷区","代沢5丁目","1-15","","35.654901","139.66779","","","","","","","","1550032","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000031","世田谷区","新代田まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区羽根木1-6-14","東京都","世田谷区","羽根木1丁目","6-14","","35.66454","139.660427","","","","","","","","1560042","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000032","世田谷区","松原まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区松原5-43-28","東京都","世田谷区","松原5丁目","43-28","","35.66465","139.651171","","","","","","","","1560043","","","","","","","","","","","","","","","","","","","","","","","","","","","","複合施設棟 令和4年竣工"
"131121","131121000033","世田谷区","松沢まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区赤堤5-31-5","東京都","世田谷区","赤堤5丁目","31-5","","35.665384","139.638033","","","","","","","","1560044","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000034","世田谷区","奥沢まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区奥沢3-15-7","東京都","世田谷区","奥沢3丁目","15-7","","35.600773","139.672945","","","","","","","","1580083","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000035","世田谷区","九品仏まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区奥沢7-35-4","東京都","世田谷区","奥沢7丁目","35-4","","35.606917","139.661764","","","","","","","","1580083","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000036","世田谷区","等々力まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区等々力3-4-1","東京都","世田谷区","等々力3丁目","4-1","","35.608582","139.648462","","","","","","","","1580082","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000037","世田谷区","上野毛まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区中町2-33-11","東京都","世田谷区","中町2丁目","33-11","","35.611404","139.641027","","","","","","","","1580091","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000038","世田谷区","用賀まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区用賀2-29-22","東京都","世田谷区","用賀2丁目","29-22","","35.62561","139.636452","","","","","","","","1580097","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000039","世田谷区","二子玉川まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区玉川4-4-5","東京都","世田谷区","玉川4丁目","4-5","","35.615468","139.626705","","","","","","","","1580094","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000040","世田谷区","深沢まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区駒沢4-33-12","東京都","世田谷区","駒沢4丁目","33-12","","35.62792","139.652654","","","","","","","","1540012","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000041","世田谷区","祖師谷まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区祖師谷4-1-23","東京都","世田谷区","祖師谷4丁目","1-23","","35.646928","139.608218","","","","","","","","1570072","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000042","世田谷区","成城まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区成城6-3-10","東京都","世田谷区","成城6丁目","3-10","","35.640809","139.600514","","","","","","","","1570066","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000043","世田谷区","船橋まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区船橋4-3-2","東京都","世田谷区","船橋4丁目","3-2","","35.655308","139.622534","","","","","","","","1560055","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
