全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
,,千代田区,お茶の水幼稚園,,,,,,,,,東京都千代田区神田猿楽町一丁目1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,千代田図書館,,,,,,,,,東京都千代田区九段南一丁目2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,内神田収蔵庫,,,,,,,,,東京都千代田区内神田二丁目1-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,四番町図書館,,,,,,,,,東京都千代田区四番町1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,軽井沢少年自然の家,,,,,,,,,長野県北佐久郡軽井沢町大字長倉字横吹1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,メレーズ軽井沢（管理棟）,,,,,,,,,長野県北佐久郡軽井沢町大字長倉字横吹2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,メレーズ軽井沢(コテージそよかぜ）,,,,,,,,,長野県北佐久郡軽井沢町大字長倉字横吹2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,メレーズ軽井沢(コテージせせらぎ）,,,,,,,,,長野県北佐久郡軽井沢町大字長倉字横吹2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,メレーズ軽井沢(コテージこもれび）,,,,,,,,,長野県北佐久郡軽井沢町大字長倉字横吹2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,メレーズ軽井沢(コテージあおぞら）,,,,,,,,,長野県北佐久郡軽井沢町大字長倉字横吹2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,日比谷図書文化館,,,,,,,,,東京都千代田区日比谷公園1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,教育研究所,,,,,,,,,東京都千代田区神田司町二丁目16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,いずみこども園,,,,,,,,,東京都千代田区神田和泉町1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,麹町保育園,,,,,,,,,東京都千代田区一番町4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,四番町保育園・児童館,,,,,,,,,東京都千代田区四番町11-1･2･9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,西神田保育園(西神田コスモス館）,,,,,,,,,東京都千代田区西神田二丁目6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,ふじみこども園,,,,,,,,,東京都千代田区富士見一丁目10-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,神田保育園,,,,,,,,,東京都千代田区神田淡路町二丁目109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,児童・家庭支援センター（いずみこどもプラザ）,,,,,,,,,東京都千代田区神田和泉町1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,一番町児童館,,,,,,,,,東京都千代田区一番町10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,神田児童館,,,,,,,,,東京都千代田区外神田三丁目4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,児童・家庭支援センター（西神田分館）,,,,,,,,,東京都千代田区西神田二丁目6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,富士見わんぱくひろば,,,,,,,,,東京都千代田区富士見一丁目10-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,児童・家庭支援センター,,,,,,,,,東京都千代田区神田司町二丁目16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧永田町小学校,,,,,,,,,東京都千代田区永田町二丁目19-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧麹町保育園仮園舎（三番町分室跡地）,,,,,,,,,東京都千代田区三番町7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧神田保育園仮園舎,,,,,,,,,東京都千代田区神田淡路町二丁目12-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧今川中学校（校舎・体育館）,,,,,,,,,東京都千代田区鍛冶町二丁目4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧今川中学校（便所）,,,,,,,,,東京都千代田区鍛冶町二丁目4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,地域交流室,,,,,,,,,東京都千代田区富士見一丁目10-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,万世橋出張所・区民館４階事務室,,,,,,,,,東京都千代田区外神田一丁目1-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,ジョブ・サポート・プラザ　ちよだ,,,,,,,,,東京都千代田区九段南一丁目2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,いきいきプラザ一番町,,,,,,,,,東京都千代田区一番町12-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,岩本町ほほえみプラザ,,,,,,,,,東京都千代田区岩本町二丁目15-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,千代田区立障害者福祉センター,,,,,,,,,東京都千代田区神田駿河台二丁目5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,高齢者総合サポートセンター,,,,,,,,,東京都千代田区九段南一丁目6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,千代田保健所,,,,,,,,,東京都千代田区九段北一丁目2-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,万世橋出張所・区民館６階事務室,,,,,,,,,東京都千代田区外神田一丁目1-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,淡路にこにこフォーユープラザ,,,,,,,,,東京都千代田区神田淡路町二丁目109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,特別養護老人ホームかんだ連雀旧駐車場・倉庫,,,,,,,,,東京都千代田区神田須田町一丁目17-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,特別養護老人ホームかんだ連雀旧駐車場・倉庫,,,,,,,,,東京都千代田区神田須田町一丁目17-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,番町さくら館（職務住宅）,,,,,,,,,東京都千代田区一番町12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,千代田区立淡路町施設,,,,,,,,,東京都千代田区神田淡路町二丁目9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧千代田保健所,,,,,,,,,東京都千代田区神田錦町三丁目10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,千代田区男女共同参画センター,,,,,,,,,東京都千代田区九段南一丁目2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,麹町出張所・区民館,,,,,,,,,東京都千代田区麹町二丁目8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,富士見出張所・区民館,,,,,,,,,東京都千代田区富士見一丁目6-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,神保町出張所・区民館,,,,,,,,,東京都千代田区神田神保町二丁目40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,神田公園出張所・区民館,,,,,,,,,東京都千代田区神田司町二丁目2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,万世橋出張所・区民館,,,,,,,,,東京都千代田区外神田一丁目1-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,和泉橋出張所・区民館,,,,,,,,,東京都千代田区神田佐久間町一丁目11-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,千代田万世会館,,,,,,,,,東京都千代田区外神田一丁目1-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,四番町集会室,,,,,,,,,東京都千代田区四番町11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,一番町集会室,,,,,,,,,東京都千代田区一番町10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,九段上集会室,,,,,,,,,東京都千代田区九段南二丁目9-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,内神田集会室,,,,,,,,,東京都千代田区内神田一丁目1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,千代田区ふれあい会館,,,,,,,,,東京都千代田区神田須田町二丁目17-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,千代田区立内幸町ホール,,,,,,,,,東京都千代田区内幸町一丁目5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,スポーツセンター,,,,,,,,,東京都千代田区内神田二丁目1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,九段生涯学習館,,,,,,,,,東京都千代田区九段南一丁目5-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,花小金井運動施設（園舎）,,,,,,,,,東京都小平市花小金井南町三丁目2-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,花小金井運動施設（管理人住宅）,,,,,,,,,東京都小平市花小金井南町三丁目2-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,花小金井運動施設（農具庫）,,,,,,,,,東京都小平市花小金井南町三丁目2-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,花小金井運動施設（便所）,,,,,,,,,東京都小平市花小金井南町三丁目2-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,千鳥ヶ淵ボート場,,,,,,,,,東京都千代田区三番町2先,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧練成中学校（校舎）,,,,,,,,,東京都千代田区外神田六丁目11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧練成中学校（倉庫）,,,,,,,,,東京都千代田区外神田六丁目11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,万世橋出張所・区民館５階事務室,,,,,,,,,東京都千代田区外神田一丁目1-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧万世橋出張所,,,,,,,,,東京都千代田区外神田一丁目1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,ちよだプラットフォームスクウェア,,,,,,,,,東京都千代田区神田錦町三丁目21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,西神田併設庁舎,,,,,,,,,東京都千代田区西神田一丁目3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧千代田区公会堂１階事務室,,,,,,,,,東京都千代田区九段南一丁目6-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,水防倉庫,,,,,,,,,東京都千代田区飯田橋三丁目13-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,外濠公園（倉庫）,,,,,,,,,東京都千代田区五番町先,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,外濠公園（更衣室）,,,,,,,,,東京都千代田区五番町先,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,偕香苑,,,,,,,,,東京都千代田区紀尾井町2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧区立外神田住宅,,,,,,,,,東京都千代田区外神田三丁目4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
