"name","address","url","latitude","longitude","source_file"
"世田谷清掃事務所弦巻分室","東京都世田谷区弦巻1-51-12","","35.63769","139.647726","01_131121_public_facility.csv"
"玉川清掃事務所","東京都世田谷区野毛1-3-7","","35.599624","139.644504","01_131121_public_facility.csv"
"砧清掃事務所","東京都世田谷区八幡山2-7-1","","35.659834","139.61637","01_131121_public_facility.csv"
"エムケイアースビル（世田谷保健所試験検査室）","東京都世田谷区世田谷1-11-18エムケイアースビル","","35.641696","139.653326","01_131121_public_facility.csv"
"区史編さん担当事務室（複合施設）","東京都世田谷区弦巻3-16-8","","35.63769","139.644325","01_131121_public_facility.csv"
"グリーンプラザ","東京都世田谷区世田谷4-18-7","","35.645513","139.651821","01_131121_public_facility.csv"
"事務センター","東京都世田谷区弦巻2-23-1","","35.636393","139.653145","01_131121_public_facility.csv"
"消費生活センター（複合施設）","東京都世田谷区太子堂2-16-7三軒茶屋分庁舎3F","","35.64447","139.67114","01_131121_public_facility.csv"
"三軒茶屋分庁舎（複合施設）","東京都世田谷区太子堂2-16-7御幸ビル","","35.64447","139.67114","01_131121_public_facility.csv"
"梅丘分庁舎","東京都世田谷区松原6-3-5","","35.657031","139.653828","01_131121_public_facility.csv"
"世田谷区民会館（複合施設）","東京都世田谷区世田谷4-21-27","","35.646581","139.653243","01_131121_public_facility.csv"
"世田谷区民会館別館（三茶しゃれなあどホール）（複合施設）","東京都世田谷区太子堂2-16-7三軒茶屋分庁舎5F","","35.64447","139.67114","01_131121_public_facility.csv"
"北沢区民会館（北沢タウンホール）（複合施設）","東京都世田谷区北沢2-8-18","","35.662208","139.66972","01_131121_public_facility.csv"
"北沢区民会館別館（梅丘パークホール）（複合施設）","東京都世田谷区松原6-4-1歯科医師会館","","35.656922","139.652813","01_131121_public_facility.csv"
"玉川区民会館（玉川せせらぎホール）（複合施設）","東京都世田谷区等々力3-4-1","","35.608582","139.648462","01_131121_public_facility.csv"
"玉川区民会館別館（上用賀アートホール）（複合施設）","東京都世田谷区上用賀5-14-1-102","","35.630095","139.625844","01_131121_public_facility.csv"
"砧区民会館（成城ホール）（複合施設）","東京都世田谷区成城6-2-1","","35.641265","139.600691","01_131121_public_facility.csv"
"烏山区民会館（複合施設）","東京都世田谷区南烏山6-2-19","","35.668837","139.600537","01_131121_public_facility.csv"
"桜丘区民センター（複合施設）","東京都世田谷区桜丘5-14-1","","35.644782","139.622143","01_131121_public_facility.csv"
"桜丘区民センター（別棟）（複合施設）","東京都世田谷区桜丘2-22-1","","35.645851","139.623679","01_131121_public_facility.csv"
"太子堂区民センター（複合施設）","東京都世田谷区太子堂1-14-20","","35.642897","139.673622","01_131121_public_facility.csv"
"弦巻区民センター（複合施設）","東京都世田谷区弦巻1-26-11","","35.636934","139.651815","01_131121_public_facility.csv"
"宮坂区民センター（複合施設）","東京都世田谷区宮坂1-24-6","","35.647725","139.644755","01_131121_public_facility.csv"
"代田区民センター（複合施設）","東京都世田谷区代田6-34-13","","35.662869","139.660648","01_131121_public_facility.csv"
"奥沢区民センター（複合施設）","東京都世田谷区奥沢3-47-8","","35.603624","139.672397","01_131121_public_facility.csv"
"玉川台区民センター（複合施設）","東京都世田谷区玉川台1-6-15","","35.622935","139.633048","01_131121_public_facility.csv"
"深沢区民センター（複合施設）","東京都世田谷区深沢4-33-11","","35.620194","139.65387","01_131121_public_facility.csv"
"鎌田区民センター（複合施設）","東京都世田谷区鎌田3-35-1","","35.622285","139.613512","01_131121_public_facility.csv"
"粕谷区民センター（複合施設）","東京都世田谷区粕谷4-13-6","","35.663097","139.605159","01_131121_public_facility.csv"
"上北沢区民センター（複合施設）","東京都世田谷区上北沢3-8-9","","35.667566","139.625565","01_131121_public_facility.csv"
"烏山区民センター（複合施設）","東京都世田谷区南烏山6-2-19","","35.668837","139.600537","01_131121_public_facility.csv"
"池尻地区会館（複合施設）","東京都世田谷区池尻2-3-11","","35.646608","139.682525","01_131121_public_facility.csv"
"上馬地区会館（複合施設）","東京都世田谷区上馬4-10-17","","35.635039","139.662542","01_131121_public_facility.csv"
"経堂地区会館","東京都世田谷区経堂3-37-13","","35.651779","139.632161","01_131121_public_facility.csv"
"経堂地区会館別館","東京都世田谷区経堂3-1-15","","35.650341","139.633707","01_131121_public_facility.csv"
"経堂南地区会館","東京都世田谷区経堂5-21-6","","35.647522","139.630279","01_131121_public_facility.csv"
"下馬地区会館（複合施設）","東京都世田谷区下馬4-13-4","","35.635975","139.679084","01_131121_public_facility.csv"
"下馬南地区会館","東京都世田谷区下馬6-41-6","","35.632269","139.679039","01_131121_public_facility.csv"
"世田谷地区会館","東京都世田谷区世田谷2-25-10","","35.640797","139.640487","01_131121_public_facility.csv"
"中里地区会館","東京都世田谷区上馬2-24-17","","35.638831","139.666784","01_131121_public_facility.csv"
"野沢地区会館（複合施設）","東京都世田谷区野沢1-8-14","","35.634692","139.671056","01_131121_public_facility.csv"
"三宿地区会館","東京都世田谷区三宿2-7-10","","35.653153","139.677169","01_131121_public_facility.csv"
"梅丘地区会館（複合施設）","東京都世田谷区梅丘1-61-16","","35.653407","139.652326","01_131121_public_facility.csv"
"北沢地区会館（複合施設）","東京都世田谷区北沢3-3-10","","35.666362","139.672548","01_131121_public_facility.csv"
"桜上水南地区会館","東京都世田谷区桜上水3-4-11","","35.659466","139.633492","01_131121_public_facility.csv"
"代沢地区会館","東京都世田谷区代沢5-8-19","","35.657508","139.66809","01_131121_public_facility.csv"
"代沢東地区会館","東京都世田谷区代沢1-31-8","","35.657881","139.675894","01_131121_public_facility.csv"
"代田地区会館","東京都世田谷区代田4-14-3","","35.662399","139.657763","01_131121_public_facility.csv"
"花見堂地区会館（複合施設）","東京都世田谷区代田1-13-14","","35.651927","139.662697","01_131121_public_facility.csv"
"松原地区会館（複合施設）","東京都世田谷区松原5-17-6","","35.661243","139.648051","01_131121_public_facility.csv"
"守山地区会館（複合施設）","東京都世田谷区代田6-21-5","","35.665439","139.661723","01_131121_public_facility.csv"
"奥沢地区会館（複合施設）","東京都世田谷区奥沢7-35-4","","35.606917","139.661764","01_131121_public_facility.csv"
"奥沢東地区会館","東京都世田谷区奥沢2-9-28","","35.604518","139.672614","01_131121_public_facility.csv"
"尾山台地区会館（複合施設）","東京都世田谷区等々力2-17-14","","35.605757","139.652395","01_131121_public_facility.csv"
"上野毛地区会館（複合施設）","東京都世田谷区中町2-33-11","","35.611404","139.641027","01_131121_public_facility.csv"
"九品仏地区会館","東京都世田谷区奥沢7-34-3","","35.606186","139.661801","01_131121_public_facility.csv"
"駒沢地区会館","東京都世田谷区駒沢3-13-5","","35.631432","139.654233","01_131121_public_facility.csv"
"新町地区会館","東京都世田谷区新町2-21-10","","35.629699","139.648116","01_131121_public_facility.csv"
"瀬田地区会館","東京都世田谷区瀬田4-18-11","","35.621414","139.627327","01_131121_public_facility.csv"
"玉堤地区会館","東京都世田谷区玉堤1-12-18","","35.595649","139.652349","01_131121_public_facility.csv"
"等々力地区会館（複合施設）","東京都世田谷区等々力3-25-16","","35.61137","139.649976","01_131121_public_facility.csv"
"東玉川地区会館（複合施設）","東京都世田谷区東玉川1-19-15","","35.597177","139.678775","01_131121_public_facility.csv"
"深沢地区会館","東京都世田谷区深沢1-14-22","","35.617667","139.661041","01_131121_public_facility.csv"
"二子玉川地区会館（複合施設）","東京都世田谷区玉川4-4-5","","35.615468","139.626705","01_131121_public_facility.csv"
"二子玉川地区会館別館（複合施設）","東京都世田谷区玉川3-27-1","","35.614103","139.624276","01_131121_public_facility.csv"
"用賀地区会館（複合施設）","東京都世田谷区用賀4-38-16","","35.6299","139.629626","01_131121_public_facility.csv"
"宇奈根地区会館","東京都世田谷区宇奈根2-23-20","","35.623412","139.602624","01_131121_public_facility.csv"
"大蔵地区会館","東京都世田谷区砧3-5-6","","35.63493","139.610811","01_131121_public_facility.csv"
"岡本地区会館","東京都世田谷区岡本1-25-4","","35.625048","139.619468","01_131121_public_facility.csv"
"喜多見地区会館","東京都世田谷区喜多見8-23-23","","35.636821","139.589644","01_131121_public_facility.csv"
"喜多見東地区会館（複合施設）","東京都世田谷区喜多見5-11-10","","35.628916","139.601209","01_131121_public_facility.csv"
"砧地区会館","東京都世田谷区砧8-2-21","","35.639088","139.607248","01_131121_public_facility.csv"
"祖師谷地区会館","東京都世田谷区祖師谷3-30-30","","35.643477","139.607668","01_131121_public_facility.csv"
"千歳台地区会館（複合施設）","東京都世田谷区千歳台3-31-9","","35.653626","139.611611","01_131121_public_facility.csv"
"船橋地区会館","東京都世田谷区船橋3-11-8","","35.652452","139.62338","01_131121_public_facility.csv"
"上北沢地区会館","東京都世田谷区上北沢2-1-3","","35.663209","139.62248","01_131121_public_facility.csv"
"上祖師谷地区会館（複合施設）","東京都世田谷区上祖師谷4-5-6","","35.653571","139.596639","01_131121_public_facility.csv"
"北烏山地区会館","東京都世田谷区北烏山9-25-26","","35.674354","139.592345","01_131121_public_facility.csv"
"給田地区会館（複合施設）","東京都世田谷区給田3-14-7","","35.664894","139.590708","01_131121_public_facility.csv"
"池尻区民集会所（複合施設）","東京都世田谷区池尻3-27-21","","35.649821","139.67869","01_131121_public_facility.csv"
"三軒茶屋区民集会所（複合施設）","東京都世田谷区太子堂2-17-1","","35.644777","139.671139","01_131121_public_facility.csv"
"下馬区民集会所（複合施設）","東京都世田谷区下馬3-14-9","","35.635942","139.675404","01_131121_public_facility.csv"
"弦巻区民集会所","東京都世田谷区弦巻5-1-18","","35.63506","139.637811","01_131121_public_facility.csv"
"野沢区民集会所","東京都世田谷区野沢4-24-1","","35.634809","139.664923","01_131121_public_facility.csv"
"丸山区民集会所（複合施設）","東京都世田谷区三軒茶屋2-32-14","","35.64077","139.665786","01_131121_public_facility.csv"
"若林区民集会所（複合施設）","東京都世田谷区若林1-34-2","","35.646106","139.66376","01_131121_public_facility.csv"
"大原区民集会所","東京都世田谷区大原1-16-16シルクロードビル","","35.668677","139.665084","01_131121_public_facility.csv"
"北沢区民集会所（複合施設）","東京都世田谷区北沢4-24-22","","35.668395","139.668156","01_131121_public_facility.csv"
"北沢南区民集会所","東京都世田谷区北沢3-25-8","","35.664334","139.669121","01_131121_public_facility.csv"
"下北沢区民集会所","東京都世田谷区北沢2-26-6B1F、3F","","35.662028","139.665991","01_131121_public_facility.csv"
"新代田区民集会所（複合施設）","東京都世田谷区羽根木1-6-14","","35.66454","139.660427","01_131121_public_facility.csv"
"羽根木区民集会所","東京都世田谷区羽根木2-8-6東松原ハイム1F","","35.666462","139.658596","01_131121_public_facility.csv"
"松沢区民集会所（複合施設）","東京都世田谷区赤堤5-31-5","","35.665384","139.638033","01_131121_public_facility.csv"
"六所橋区民集会所","東京都世田谷区赤堤2-10-13","","35.657735","139.64334","01_131121_public_facility.csv"
"上野毛区民集会所","東京都世田谷区上野毛1-26-14伊東ビル2F","","35.612573","139.63871","01_131121_public_facility.csv"
"桜新町区民集会所（複合施設）","東京都世田谷区桜新町1-30-14","","35.628345","139.644","01_131121_public_facility.csv"
"中町区民集会所（複合施設）","東京都世田谷区中町4-15-6","","35.617961","139.644841","01_131121_public_facility.csv"
"野毛区民集会所（複合施設）","東京都世田谷区野毛2-4-4","","35.600795","139.642655","01_131121_public_facility.csv"
"用賀区民集会所（複合施設）","東京都世田谷区用賀4-10-6コミュニティ・テラス","","35.626906","139.63251","01_131121_public_facility.csv"
"鎌田区民集会所","東京都世田谷区鎌田2-1-24","","35.617031","139.61333","01_131121_public_facility.csv"
"砧総合支所区民集会所（複合施設）","東京都世田谷区成城6-2-1","","35.641265","139.600691","01_131121_public_facility.csv"
"希望丘区民集会所（複合施設）","東京都世田谷区船橋6-25-1","","35.659021","139.620796","01_131121_public_facility.csv"
