name,address,url,latitude,longitude,source_file,category
東海緑道公園,東京都大田区東海一丁目・二丁目・三丁目／四丁目・五丁目・六丁目,http://seaside-park.jp/otherpark/,35.577185,139.759561,130001_public_facility.csv,公園
城南島緑道公園,東京都大田区城南島一丁目・二丁目,http://seaside-park.jp/otherpark/,35.581768,139.775432,130001_public_facility.csv,公園
京浜島緑道公園,東京都大田区京浜島一丁目,http://seaside-park.jp/otherpark/,35.568481,139.765208,130001_public_facility.csv,公園
明治の森高尾国定公園,東京都八王子市高尾町,https://www.ces-net.jp/takaovc/,35.631366,139.26758,130001_public_facility.csv,公園
高尾陣場自然公園,東京都八王子市高尾町,http://www.kankyo.metro.tokyo.jp/naturepark/know/park/introduction/toritu/takao/index.html,35.625024,139.243244,130001_public_facility.csv,公園
滝山自然公園,東京都八王子市高月町、丹木町二、三丁目,https://tamaparks.com/takiyama/,35.701454,139.330101,130001_public_facility.csv,公園
多摩丘陵自然公園,東京都八王子市、町田市、多摩市,https://www.tokyo-park.or.jp/tama/,35.659984,139.41034,130001_public_facility.csv,公園
狭山自然公園,東京都東大和市、東村山市、武蔵村山市、瑞穂町,http://www.sayamaparks.com/sayamahills/,35.763198,139.441582,130001_public_facility.csv,公園
羽村草花丘陵自然公園,東京都あきる野市、福生市、羽村市、青梅市,http://www.city.hamura.tokyo.jp/,35.743495,139.311082,130001_public_facility.csv,公園
秋川丘陵自然公園,東京都八王子市、あきる野市,http://www.kankyo.metro.tokyo.jp/naturepark/know/park/introduction/toritu/akikawa/characteristic.html,35.720824,139.231591,130001_public_facility.csv,公園
青山公園,東京都港区六本木七丁目、南青山一丁目,https://www.tokyo-park.or.jp/park/format/index080.html,35.668524,139.720671,130001_public_facility.csv,公園
赤塚公園,東京都板橋区高島平三丁目、徳丸七・八丁目、四葉二丁目、大門、赤塚四・五・八丁目,https://www.tokyo-park.or.jp/park/format/index005.html,35.785076,139.656438,130001_public_facility.csv,公園
秋留台公園,東京都あきる野市二宮・平沢,https://www.tokyo-park.or.jp/park/format/index053.html,35.729273,139.300293,130001_public_facility.csv,公園
井の頭恩賜公園,東京都武蔵野市御殿山一丁目、吉祥寺南町一丁目、三鷹市井の頭三・四・五丁目、下連雀一丁目、牟礼四丁目,http://www.kensetsu.metro.tokyo.jp/seibuk/inokashira/index.html,35.7007,139.574491,130001_public_facility.csv,公園
上野恩賜公園,東京都台東区上野公園・池之端三丁目,http://www.kensetsu.metro.tokyo.jp/jimusho/toubuk/ueno/index_top.html,35.715336,139.773982,130001_public_facility.csv,公園
宇喜田公園,東京都江戸川区北葛西三丁目・宇喜田町,http://tokyo-eastpark.com/ukita/,35.674423,139.860592,130001_public_facility.csv,公園
浮間公園,東京都板橋区舟渡二丁目、北区浮間二丁目,https://www.tokyo-park.or.jp/park/format/index009.html,35.794827,139.692878,130001_public_facility.csv,公園
大泉中央公園,東京都練馬区大泉学園町九丁目,https://www.tokyo-park.or.jp/park/format/index011.html,35.77462,139.597728,130001_public_facility.csv,公園
大神山公園,（大神山公園・大神山地区）東京都小笠原父島字宮之浜道 、（大神山公園・大村中央地区）東京都小笠原父島字東町,https://www.tokyo-park.or.jp/park/format/index097.html,142.191557,27.093979,130001_public_facility.csv,公園
大島小松川公園,東京都江東区大島九丁目(江戸川区小松川一丁目）,http://tokyo-eastpark.com/ohjima/,35.692509,139.846806,130001_public_facility.csv,公園
大戸緑地,東京都町田市相原町,https://tamaparks.com/oto/,35.617521,139.289337,130001_public_facility.csv,公園
尾久の原公園,東京都荒川区東尾久七丁目,http://tokyo-eastpark.com/ogunohara/,35.751726,139.77705,130001_public_facility.csv,公園
小山内裏公園,東京都町田市小山ケ丘二・四丁目、八王子市南大沢四・五丁目、鑓水二丁目,https://www.tokyo-park.or.jp/park/format/index064.html,35.606146,139.368198,130001_public_facility.csv,公園
小山田緑地,東京都町田市下小山田町・上小山田町,https://www.tokyo-park.or.jp/park/format/index063.html,35.596194,139.416319,130001_public_facility.csv,公園
葛西臨海公園,東京都江戸川区臨海町六丁目,https://www.tokyo-park.or.jp/park/format/index026.html,35.642245,139.860296,130001_public_facility.csv,公園
